ts,n_active,page_id_mean,page_id_std,page_id_max,region_low,region_midlow,region_midhigh,region_high,change_volume_sum,change_volume_mean,change_volume_max,entropy_changed_mean,entropy_changed_max,entropy_full_mean,entropy_full_std,warmup_start_ts,controller_attached_ts,test_phase_start_ts,action_ts,max_page,action2_ts
1784158555.1794224,32,16.375,9.426525075551435,32.0,7,8,8,9,48189.0,1505.90625,3753.0,5.605288299242774,6.398269416110522,2.9473610582905647,0.9749275521375529,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158556.2020326,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,11.0,1.4987152816901825,2.321928094887362,3.6318232585241716,1.0786151408484246,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158556.205976,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,11.0,1.4987152816901825,2.321928094887362,3.6318232585241716,1.0786151408484246,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158556.2263258,32,16.375,9.426525075551435,32.0,7,8,8,9,48186.0,1505.8125,3753.0,5.6050449064722745,6.403825537371153,2.9471274771162825,0.9749111144391142,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158557.235487,4,11.25,6.53356717268599,16.0,1,2,1,0,18.0,4.5,8.0,1.9767226489021295,3.0,3.635659840763375,1.0756733758149837,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158557.2423952,4,11.25,6.53356717268599,16.0,1,2,1,0,18.0,4.5,8.0,1.9767226489021295,3.0,3.635659840763375,1.0756733758149837,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158557.2462485,4,11.25,6.53356717268599,16.0,1,2,1,0,18.0,4.5,8.0,1.9767226489021295,3.0,3.635659840763375,1.0756733758149837,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158557.2501292,4,11.25,6.53356717268599,16.0,1,2,1,0,18.0,4.5,8.0,1.9767226489021295,3.0,3.635659840763375,1.0756733758149837,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158557.2715657,32,16.375,9.426525075551435,32.0,7,8,8,9,48194.0,1506.0625,3753.0,5.605392007554183,6.398573550693265,2.9476575848482236,0.9749886596458619,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158558.280874,4,11.25,6.53356717268599,16.0,1,2,1,0,21.0,5.25,11.0,2.1148579046593246,3.4594316186372978,3.6332124373291026,1.078710414627999,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158558.2876654,4,11.25,6.53356717268599,16.0,1,2,1,0,21.0,5.25,11.0,2.1148579046593246,3.4594316186372978,3.6332124373291026,1.078710414627999,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158558.2914636,4,11.25,6.53356717268599,16.0,1,2,1,0,21.0,5.25,11.0,2.1148579046593246,3.4594316186372978,3.6332124373291026,1.078710414627999,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158558.295432,4,11.25,6.53356717268599,16.0,1,2,1,0,21.0,5.25,11.0,2.1148579046593246,3.4594316186372978,3.6332124373291026,1.078710414627999,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158558.3156135,32,16.375,9.426525075551435,32.0,7,8,8,9,48187.0,1505.84375,3753.0,5.605388074022129,6.399890590001029,2.9473516594189397,0.9750908763722977,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158559.324409,4,11.25,6.53356717268599,16.0,1,2,1,0,18.0,4.5,8.0,1.9767226489021295,3.0,3.63550164281875,1.07434869989619,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158559.3309717,4,11.25,6.53356717268599,16.0,1,2,1,0,18.0,4.5,8.0,1.9767226489021295,3.0,3.63550164281875,1.07434869989619,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158559.334865,4,11.25,6.53356717268599,16.0,1,2,1,0,18.0,4.5,8.0,1.9767226489021295,3.0,3.63550164281875,1.07434869989619,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158559.338747,4,11.25,6.53356717268599,16.0,1,2,1,0,18.0,4.5,8.0,1.9767226489021295,3.0,3.63550164281875,1.07434869989619,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158559.3589108,32,16.375,9.426525075551435,32.0,7,8,8,9,48194.0,1506.0625,3753.0,5.605473228587179,6.399127669044347,2.947653068894208,0.9748460691831587,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158560.3682852,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,9.0,2.1229632740824185,3.169925001442312,3.6348975406414197,1.075476445947911,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158560.3745277,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,9.0,2.1229632740824185,3.169925001442312,3.6348975406414197,1.075476445947911,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158560.3783276,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,9.0,2.1229632740824185,3.169925001442312,3.6348975406414197,1.075476445947911,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158560.382025,4,11.25,6.53356717268599,16.0,1,2,1,0,20.0,5.0,9.0,2.1229632740824185,3.169925001442312,3.6348975406414197,1.075476445947911,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158560.4016297,32,16.375,9.426525075551435,32.0,7,8,8,9,48193.0,1506.03125,3753.0,5.605326055066822,6.398964736676413,2.947562297332979,0.9748982564426113,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158561.4104688,4,11.25,6.53356717268599,16.0,1,2,1,0,24.0,6.0,11.0,1.71071450832892,3.169925001442312,3.6297770935554854,1.0745217243974072,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158561.417587,4,11.25,6.53356717268599,16.0,1,2,1,0,24.0,6.0,11.0,1.71071450832892,3.169925001442312,3.6297770935554854,1.0745217243974072,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158561.4494472,32,16.375,9.426525075551435,32.0,7,8,8,9,48184.0,1505.75,3753.0,5.604992836322184,6.395483612619599,2.946878691671934,0.9743395073339208,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158562.4918027,32,16.375,9.426525075551435,32.0,7,8,8,9,48191.0,1505.96875,3753.0,5.605316040581,6.400114779357756,2.9473924822118764,0.9746197179910094,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158563.534022,32,16.375,9.426525075551435,32.0,7,8,8,9,48184.0,1505.75,3753.0,5.60513239221992,6.396604056517106,2.946977382879798,0.9745332158515962,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158564.576252,32,16.375,9.426525075551435,32.0,7,8,8,9,48190.0,1505.9375,3753.0,5.604980636633213,6.39782052594647,2.9471539308781853,0.9743451041590732,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158565.586174,5,11.4,6.343500610861482,17.0,1,2,2,0,643.0,128.6,348.0,3.723074501933722,5.020429724889897,3.5661693644415307,0.9571357805001743,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158565.5929804,5,11.4,6.343500610861482,17.0,1,2,2,0,643.0,128.6,348.0,3.723074501933722,5.020429724889897,3.5661693644415307,0.9571357805001743,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158565.597238,5,11.4,6.343500610861482,17.0,1,2,2,0,643.0,128.6,348.0,3.723074501933722,5.020429724889897,3.5661693644415307,0.9571357805001743,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
