t_rel_s,signal,threshold
63.388115644454956,35.0,48078.0
63.406771183013916,48101.0,48078.0
64.41547536849976,36.0,48078.0
64.4232108592987,36.0,48078.0
64.42691349983215,36.0,48078.0
64.4305009841919,36.0,48078.0
64.44988107681274,48107.0,48078.0
65.45903730392456,14.0,48078.0
65.46799206733704,14.0,48078.0
65.47218155860901,14.0,48078.0
65.47634935379028,14.0,48078.0
65.49659156799316,48100.0,48078.0
66.5057418346405,13.0,48078.0
66.5143256187439,13.0,48078.0
66.51882910728455,13.0,48078.0
66.52304697036743,26.0,48078.0
66.52673316001892,26.0,48078.0
66.54527950286865,48100.0,48078.0
67.55324721336365,23.0,48078.0
67.55991888046265,23.0,48078.0
67.56381368637085,23.0,48078.0
67.567791223526,23.0,48078.0
67.58677196502686,48100.0,48078.0
68.59535932540894,29.0,48078.0
68.60481810569763,29.0,48078.0
68.60927677154541,29.0,48078.0
68.61325693130493,29.0,48078.0
68.63245487213135,48100.0,48078.0
69.64164328575134,21.0,48078.0
69.65062475204468,21.0,48078.0
69.65477514266968,21.0,48078.0
69.65889048576355,21.0,48078.0
69.678946018219,48123.0,48078.0
70.68865489959717,45.0,48078.0
70.69742059707642,45.0,48078.0
70.70200443267822,45.0,48078.0
70.706125497818,45.0,48078.0
70.7252607345581,48115.0,48078.0
71.73450589179993,35.0,48078.0
71.74348139762878,35.0,48078.0
71.77507948875427,48121.0,48078.0
72.82135272026062,48122.0,48078.0
73.86599063873291,48122.0,48078.0
74.90781140327454,48109.0,48078.0
75.95323395729065,48103.0,48078.0
76.9620668888092,26.0,48078.0
76.969557762146,19.0,48078.0
76.97406435012817,19.0,48078.0
76.97815227508545,19.0,48078.0
76.98220348358154,19.0,48078.0
77.00225973129272,48116.0,48078.0
78.01053857803345,15.0,48078.0
78.01745629310608,15.0,48078.0
78.02080368995667,15.0,48078.0
78.02444362640381,15.0,48078.0
78.04164862632751,48109.0,48078.0
79.05004596710205,36.0,48078.0
79.05986738204956,36.0,48078.0
79.06399869918823,36.0,48078.0
79.06790685653687,36.0,48078.0
79.08708333969116,48109.0,48078.0
80.09632635116577,65.0,48078.0
80.10421252250671,65.0,48078.0
80.10850524902344,65.0,48078.0
80.11264300346375,65.0,48078.0
80.13308525085449,48109.0,48078.0
81.14248609542847,38.0,48078.0
81.15183806419373,38.0,48078.0
81.15589141845703,38.0,48078.0
81.15990877151489,38.0,48078.0
81.17922401428223,48104.0,48078.0
81.20313811302185,48104.0,48078.0
82.21034502983093,24.0,48078.0
82.21741843223572,24.0,48078.0
82.22098970413208,24.0,48078.0
82.22431921958923,24.0,48078.0
82.24307298660278,48099.0,48078.0
83.25183367729187,14.0,48078.0
83.26021432876587,14.0,48078.0
83.26417970657349,14.0,48078.0
83.2682273387909,14.0,48078.0
83.28780722618103,48100.0,48078.0
84.29629492759705,627.0,48078.0
84.3041079044342,627.0,48078.0
84.30772089958191,627.0,48078.0
84.31126523017883,627.0,48078.0
84.32857632637024,48107.0,48078.0
85.33671236038208,14.0,48078.0
85.34427762031555,14.0,48078.0
85.34783053398132,14.0,48078.0
85.35149192810059,14.0,48078.0
85.3703773021698,48109.0,48078.0
86.3783745765686,17.0,48078.0
86.38521480560303,17.0,48078.0
86.3889787197113,17.0,48078.0
86.39268922805786,17.0,48078.0
86.41196060180664,48114.0,48078.0
86.43472290039062,48114.0,48078.0
87.47367787361145,48112.0,48078.0
88.48236274719238,11.0,48078.0
88.4901921749115,11.0,48078.0
88.49373960494995,11.0,48078.0
88.49744200706482,11.0,48078.0
88.51627492904663,48117.0,48078.0
89.5247745513916,45.0,48078.0
89.53331255912781,45.0,48078.0
89.53737926483154,45.0,48078.0
89.54157614707947,45.0,48078.0
89.55964922904968,48109.0,48078.0
90.56767463684082,28.0,48078.0
90.57556223869324,28.0,48078.0
90.579745054245,28.0,48078.0
90.58406782150269,28.0,48078.0
90.60326981544495,48101.0,48078.0
91.61191940307617,31.0,48078.0
91.61969351768494,31.0,48078.0
91.6234872341156,31.0,48078.0
91.64835691452026,48105.0,48078.0
92.69240951538086,48104.0,48078.0
93.73297047615051,48104.0,48078.0
94.77501511573792,48109.0,48078.0
95.81822776794434,48097.0,48078.0
96.86718606948853,48117.0,48078.0
97.91201281547546,48102.0,48078.0
98.95131707191467,48116.0,48078.0
99.99718976020813,48109.0,48078.0
101.04367995262146,48100.0,48078.0
102.06608057022095,53.0,48078.0
102.07030200958252,53.0,48078.0
102.07443237304688,53.0,48078.0
102.09465098381042,48096.0,48078.0
103.10359787940979,27.0,48078.0
103.1115574836731,27.0,48078.0
103.11623311042786,27.0,48078.0
103.12032222747803,27.0,48078.0
103.14113926887512,48105.0,48078.0
104.15053200721741,20.0,48078.0
104.15990686416626,20.0,48078.0
104.16423630714417,20.0,48078.0
104.1686499118805,20.0,48078.0
104.19064497947693,48107.0,48078.0
105.20084881782532,19.0,48078.0
105.2088680267334,19.0,48078.0
105.21276569366455,19.0,48078.0
105.21650075912476,19.0,48078.0
105.23688316345215,48115.0,48078.0
106.24680161476135,22.0,48078.0
106.25645232200623,22.0,48078.0
106.26095747947693,22.0,48078.0
106.26560521125793,22.0,48078.0
106.28627848625183,48115.0,48078.0
106.31217861175537,48114.0,48078.0
107.32086753845215,14.0,48078.0
107.32983112335205,14.0,48078.0
107.33380222320557,14.0,48078.0
107.33779048919678,14.0,48078.0
107.35721254348755,48108.0,48078.0
108.36596536636353,33.0,48078.0
108.37409734725952,33.0,48078.0
108.37815403938293,33.0,48078.0
108.3823299407959,33.0,48078.0
108.40124535560608,48105.0,48078.0
109.41067123413086,630.0,48078.0
109.41874074935913,630.0,48078.0
109.42336583137512,630.0,48078.0
109.4280698299408,630.0,48078.0
109.44914174079895,48115.0,48078.0
110.45856022834778,14.0,48078.0
110.4674060344696,14.0,48078.0
110.47176933288574,14.0,48078.0
110.47645974159241,14.0,48078.0
110.49781012535095,48115.0,48078.0
